wavelength[nm]	conversion_factor
385	0.1366
390	0.27016748
395	0.5464
400	1.0557131
405	1.9124
410	3.1801846
415	5.0542
420	8.045057
425	11.9525
430	15.489074
435	18.6459
440	22.254872
445	25.8857
450	28.953053
455	31.9644
460	35.599326
465	40.98
470	49.819386
475	62.13934
480	77.06972
485	94.95066
490	116.02121
495	142.07766
500	176.26864
505	220.609
510	276.8882
515	343.549
520	415.33913
525	484.93
530	543.0533
535	588.746
540	624.97915
545	651.582
550	669.36732
555	679.55085
560	683.0683
565	679.585
570	668.48625
575	650.216
580	625.34114
585	594.21
590	557.48509
595	517.031
600	474.56889
605	430.973
610	386.94682
615	343.549
620	301.69476
625	260.223
630	218.91516
635	180.995
640	148.22466
645	119.525
650	94.33596
655	73.081
660	55.768316
665	41.663
670	30.275341
675	21.856
680	16.019082
685	11.611
690	8.108576
695	5.60743
700	3.9424809
705	2.801666
710	2.0005753
715	1.428153
720	1.0123426
725	0.715101
730	0.50552245
735	0.35516
740	0.24651519
745	0.1702036
750	0.11768773
755	0.08196
760	0.05779546
765	0.04098
770	0.028990618
775	0.02049
780	0.01448643
785	0.010237487
790	0.007228872
795	0.005099005
800	0.003592034
805	0.002529012
810	0.001780991
815	0.00125433
820	0.000884485
825	0.000622158
830	0.000434142
