Lambda	Responsivity
200	0.062302
210	0.073361
220	0.089844
230	0.11371
240	0.13251
250	0.13248
260	0.12124
270	0.10237
280	0.096656
290	0.10108
300	0.11092
310	0.11358
320	0.11592
330	0.11783
340	0.1194
350	0.12081
360	0.11873
370	0.12238
380	0.14067
390	0.15663
400	0.17239
410	0.18548
420	0.19946
430	0.21236
440	0.22729
450	0.23906
460	0.25082
470	0.26379
480	0.27636
490	0.28902
500	0.30134
510	0.31294
520	0.32436
530	0.33579
540	0.34681
550	0.35785
560	0.36849
570	0.37878
580	0.38857
590	0.39817
600	0.40705
610	0.41533
620	0.42523
630	0.43332
640	0.4414
650	0.44931
660	0.45693
670	0.46415
680	0.47089
690	0.47736
700	0.4839
710	0.48996
720	0.49565
730	0.50139
740	0.50636
750	0.51185
760	0.51606
770	0.52053
780	0.52465
790	0.52766
800	0.53258
810	0.53546
820	0.53819
830	0.54121
840	0.54312
850	0.54446
860	0.54569
870	0.54689
880	0.54634
890	0.54402
900	0.54541
910	0.54103
920	0.53667
930	0.52421
940	0.51418
950	0.50361
960	0.49845
970	0.48406
980	0.46904
990	0.45263
1000	0.43576
1010	0.41727
1020	0.39786
1030	0.37691
1040	0.3539
1050	0.3284
1060	0.29801
1070	0.27092
1080	0.24662
1090	0.22434
1100	0.20058
