%================================================================================
%FMDL	190511003047
%Vdevice,IdeviceAVG,IdeviceSTD,IdetectorAVG,IdetectorSTD,NumK6514,NumK6514Readloops
0.00000E+0,-2.14484E-9,9.21867E-10,8.38215E-12,5.13964E-12,4.00000E+0,1.00000E+0
4.28571E-1,8.29144E-7,3.55053E-8,1.83425E-11,2.06871E-12,4.00000E+0,1.00000E+0
8.57143E-1,2.39572E-6,2.85480E-7,2.06915E-12,3.47954E-12,4.00000E+0,1.00000E+0
1.28571E+0,3.25326E-6,8.60886E-8,6.13589E-12,3.45782E-12,4.00000E+0,1.00000E+0
1.71429E+0,3.73361E-6,2.09813E-7,1.81229E-11,1.93992E-12,2.00000E+0,1.00000E+0
2.14286E+0,5.90769E-6,2.05705E-7,2.28107E-11,4.58604E-10,9.00000E+0,1.00000E+0
2.57143E+0,1.30689E-5,8.37606E-7,7.37501E-12,4.86206E-12,4.00000E+0,1.00000E+0
3.00000E+0,1.48897E-5,7.78276E-7,1.61616E-11,5.43555E-12,4.00000E+0,1.00000E+0
3.42857E+0,2.10337E-5,9.07619E-7,1.43761E-11,2.28757E-12,3.00000E+0,1.00000E+0
3.85714E+0,1.94033E-5,5.10058E-7,-2.64869E-11,5.50385E-10,1.00000E+1,0.00000E+0
4.28571E+0,3.15422E-5,4.79236E-7,2.03150E-11,4.38207E-10,1.00000E+1,0.00000E+0
4.71429E+0,5.24263E-5,5.00607E-7,-4.44095E-11,5.61551E-10,9.00000E+0,1.00000E+0
5.14286E+0,9.19496E-5,8.17271E-7,1.35719E-10,5.41738E-10,1.00000E+1,0.00000E+0
5.57143E+0,1.49894E-4,1.23288E-6,3.46744E-10,5.20168E-10,1.00000E+1,0.00000E+0
6.00000E+0,2.50036E-4,1.48860E-6,7.14143E-10,5.47386E-10,1.00000E+1,0.00000E+0
6.42857E+0,4.13726E-4,3.21073E-6,3.42566E-9,3.81324E-9,1.00000E+1,0.00000E+0
6.85714E+0,6.90570E-4,2.93701E-6,1.51567E-8,2.05202E-9,1.00000E+1,0.00000E+0
7.28571E+0,1.12840E-3,2.41347E-6,2.80751E-8,1.77778E-9,1.00000E+1,0.00000E+0
7.71429E+0,1.83293E-3,7.36502E-6,5.05589E-8,1.66623E-9,1.00000E+1,0.00000E+0
8.14286E+0,2.95056E-3,1.45834E-5,8.80751E-8,1.12508E-9,1.00000E+1,0.00000E+0
8.57143E+0,4.71746E-3,3.72017E-5,1.48647E-7,1.62004E-9,1.00000E+1,0.00000E+0
9.00000E+0,7.44778E-3,8.09322E-5,2.41404E-7,2.28337E-9,1.00000E+1,0.00000E+0
