%================================================================================
%FMDL	200107235330
%Vdevice,IdeviceAVG,IdeviceSTD,IdetectorAVG,IdetectorSTD,NumK6514,NumK6514Readloops
0.00000E+0,-8.85066E-7,8.33049E-8,3.78665E-11,1.00198E-12,2.00000E+0,1.00000E+0
7.92079E-2,1.62912E-4,8.64016E-8,3.67039E-11,3.85629E-13,4.00000E+0,1.00000E+0
1.58416E-1,3.36876E-4,1.21882E-7,3.68474E-11,1.84841E-13,4.00000E+0,1.00000E+0
2.37624E-1,5.24516E-4,2.35019E-7,3.70654E-11,3.12630E-13,4.00000E+0,1.00000E+0
3.16832E-1,7.25252E-4,3.25112E-7,3.58722E-11,7.21070E-13,4.00000E+0,1.00000E+0
3.96040E-1,9.37107E-4,5.75122E-7,3.64521E-11,5.97296E-13,4.00000E+0,1.00000E+0
4.75248E-1,1.16573E-3,6.12846E-7,3.63964E-11,4.22522E-13,4.00000E+0,1.00000E+0
5.54455E-1,1.40642E-3,9.39219E-7,3.64736E-11,2.32092E-13,4.00000E+0,1.00000E+0
6.33663E-1,1.65681E-3,7.65157E-7,3.67540E-11,6.42844E-13,4.00000E+0,1.00000E+0
7.12871E-1,1.91684E-3,4.53046E-7,3.70041E-11,4.74032E-13,4.00000E+0,1.00000E+0
7.92079E-1,2.18805E-3,1.18103E-6,3.72193E-11,3.69204E-13,4.00000E+0,1.00000E+0
8.71287E-1,2.47843E-3,6.57984E-7,3.65616E-11,8.77802E-13,4.00000E+0,1.00000E+0
9.50495E-1,2.77616E-3,1.49567E-6,3.62031E-11,1.16711E-13,4.00000E+0,1.00000E+0
1.02970E+0,3.06854E-3,9.40715E-7,3.65693E-11,3.10624E-13,4.00000E+0,1.00000E+0
1.10891E+0,3.38397E-3,1.05831E-6,3.66742E-11,4.21469E-13,4.00000E+0,1.00000E+0
1.18812E+0,3.71232E-3,1.32038E-6,3.67028E-11,2.90114E-13,4.00000E+0,1.00000E+0
1.26733E+0,4.05049E-3,1.35219E-6,3.69985E-11,2.18518E-13,4.00000E+0,1.00000E+0
1.34653E+0,4.39949E-3,1.04638E-6,3.66113E-11,4.37553E-13,4.00000E+0,1.00000E+0
1.42574E+0,4.75231E-3,1.33870E-6,3.70273E-11,2.80158E-13,4.00000E+0,1.00000E+0
1.50495E+0,5.11747E-3,1.26574E-6,3.69933E-11,5.93789E-13,4.00000E+0,1.00000E+0
1.58416E+0,5.48474E-3,1.56677E-6,3.67226E-11,4.31742E-13,4.00000E+0,1.00000E+0
1.66337E+0,5.86770E-3,2.10842E-6,3.65548E-11,2.96535E-13,4.00000E+0,1.00000E+0
1.74257E+0,6.27475E-3,9.99924E-7,3.63876E-11,2.94972E-13,4.00000E+0,1.00000E+0
1.82178E+0,6.67413E-3,1.73112E-6,3.66559E-11,2.60304E-13,4.00000E+0,1.00000E+0
1.90099E+0,7.08483E-3,1.84417E-6,3.68186E-11,2.05361E-13,4.00000E+0,1.00000E+0
1.98020E+0,7.50001E-3,1.01619E-6,3.68712E-11,1.65495E-13,4.00000E+0,1.00000E+0
2.05941E+0,7.90852E-3,5.16852E-6,3.45051E-11,1.36596E-12,4.00000E+0,1.00000E+0
2.13861E+0,8.36153E-3,3.08618E-6,3.74279E-11,5.95056E-13,4.00000E+0,1.00000E+0
2.21782E+0,8.81805E-3,2.25756E-6,3.64604E-11,2.43672E-13,4.00000E+0,1.00000E+0
2.29703E+0,9.28589E-3,4.39564E-6,3.77478E-11,2.16202E-13,4.00000E+0,1.00000E+0
2.37624E+0,9.68299E-3,2.58977E-6,3.79245E-11,1.25750E-13,4.00000E+0,1.00000E+0
2.45545E+0,1.01671E-2,4.11937E-6,3.76014E-11,2.68908E-13,4.00000E+0,1.00000E+0
2.53465E+0,1.06417E-2,2.20477E-6,3.77853E-11,3.92512E-13,4.00000E+0,1.00000E+0
2.61386E+0,1.11443E-2,2.79422E-6,3.80574E-11,2.13028E-13,4.00000E+0,1.00000E+0
2.69307E+0,1.16220E-2,5.73647E-6,3.82924E-11,2.03464E-13,4.00000E+0,1.00000E+0
2.77228E+0,1.21581E-2,3.96769E-6,3.89170E-11,1.88614E-13,4.00000E+0,1.00000E+0
2.85149E+0,1.27043E-2,6.00291E-6,4.05413E-11,1.30850E-13,4.00000E+0,1.00000E+0
2.93069E+0,1.32469E-2,4.38523E-6,4.16623E-11,2.11999E-12,4.00000E+0,1.00000E+0
3.00990E+0,1.36866E-2,5.72742E-6,4.85977E-11,2.75128E-13,4.00000E+0,1.00000E+0
3.08911E+0,1.44488E-2,3.04618E-5,5.51888E-11,2.30579E-12,4.00000E+0,1.00000E+0
3.16832E+0,1.49822E-2,2.77427E-5,6.47403E-11,1.17226E-12,4.00000E+0,1.00000E+0
3.24752E+0,1.55037E-2,4.70990E-6,7.84869E-11,9.38563E-13,4.00000E+0,1.00000E+0
3.32673E+0,1.61009E-2,7.23328E-6,9.39798E-11,6.52894E-13,4.00000E+0,1.00000E+0
3.40594E+0,1.67235E-2,9.36086E-6,1.13652E-10,5.98445E-13,4.00000E+0,1.00000E+0
