,Bias Voltage(Volts),Current density (mA/cm2),Current density error,Power corrected (mW),Power corrected error,Luminance [cd/m2],Luminance error,Luminosity [lm/w],Luminosity error,Quantum Eff.[0-1],Quantum Eff.error,Current Eff.[cd/A],Current Eff.error,Radience [mW/m2],Radience error
0,0.0,-0.005818974358974359,0.000547698224852071,5.873125031270327e-05,1.5540791514484414e-06,0.49893912723421247,0.013202356349441752,-inf,-inf,-0.02890820241268277,-0.003485857055665315,-8.574348269205203,-1.033926357137571,3.8613576799936395,0.1021748291550586
1,0.0792079,1.0710848126232742,0.0005680578566732413,5.6928048231350386e-05,5.981137239205484e-07,0.4836203988246025,0.005081150798098639,1.7899541163392716,0.017856811724530377,0.00015223016460762527,1.5186676369962277e-06,0.0451523906533724,0.0004504460373870794,3.7428039599835885,0.03932371623409259
2,0.158416,2.2148323471400393,0.0008013280736357659,5.715061790163607e-05,2.8668989843398213e-07,0.485511193187908,0.002435514431412966,0.4344992128624641,0.002022416190290839,7.390577177239593e-05,3.4400115112693133e-07,0.0219209004155478,0.00010203282904494064,3.757437074400793,0.018848777017355826
3,0.23762399999999997,3.448494411571334,0.0015451610782380011,5.748873767949168e-05,4.848916795917347e-07,0.48838361946805164,0.00411929645853807,0.18714184571939133,0.0014946050770857664,4.774759814069077e-05,3.813353572815207e-07,0.014162227371727587,0.00011310638115841654,3.7796671715642125,0.031879794844952965
4,0.316832,4.768257725180802,0.0021374884944115715,5.5638074748586584e-05,1.118385450542853e-06,0.47266169727783436,0.00950101109093192,0.09824066607134513,0.0019307048036000247,3.342032404433947e-05,6.56803162586621e-07,0.009912670927616692,0.0001948118039280901,3.657993080117461,0.07352961542030591
5,0.39604,6.161124260355029,0.0037812097304404995,5.65375043778456e-05,9.264109671286337e-07,0.48030261470836316,0.007870131777177351,0.061808126434709315,0.0009748412784432314,2.6283000928064743e-05,4.1453698249702937e-07,0.0077956975774529525,0.00012295418468619658,3.7171271780306108,0.0609080188776222
6,0.47524799999999995,7.664234056541749,0.004029230769230769,5.645111322359534e-05,6.553350677940662e-07,0.47956869661751916,0.0055672628290772555,0.04134199387293422,0.00045820062474780196,2.1096093203437104e-05,2.338117294309077e-07,0.006257229268829375,6.93499778694724e-05,3.711447286232435,0.04308580327377161
7,0.554455,9.246679815910586,0.006175009861932939,5.657085105318458e-05,3.5997658478010715e-07,0.48058590445617555,0.0030581062395004252,0.029433950356935294,0.00016764044858170066,1.752286748477123e-05,9.980112522995393e-08,0.005197388836036483,2.960161940075377e-05,3.719319595870123,0.023667099591065555
8,0.633663,10.892899408284023,0.005030618014464168,5.700575373993096e-05,9.970562865862812e-07,0.48428052981834185,0.008470284401984605,0.022030523374275166,0.00037514951191677456,1.498902842493787e-05,2.55242537918467e-07,0.004445836793921439,7.570648572284046e-05,3.747912803414264,0.06555268156385806
9,0.712871,12.60249835634451,0.0029786061801446414,5.739366087957173e-05,7.352274978736179e-07,0.487575914280103,0.006245972359766236,0.017041361712134547,0.00021427647532165905,1.3043842967185547e-05,1.640120515526361e-07,0.003868882982513077,4.864696982134598e-05,3.773416231398535,0.048338428525550155
10,0.792079,14.38560157790927,0.007764825772518079,5.7727437834592486e-05,5.726384149697304e-07,0.49041144701169426,0.004864730607037359,0.01351430510998905,0.00012676321547170908,1.1493506300925553e-05,1.0780826715779636e-07,0.0034090437188582846,3.197658628904963e-05,3.7953608043782037,0.03764881097762855
